Attendance,Study Hours,Homework Completion,Test Scores,SES,Extracurricular Activities,Parent Involvement,Tutoring,Sleep Hours,Health Conditions,Final Grade
97,16,78,78,High,0,Medium,No,7,Mild,67.4
86,15,89,94,High,1,Low,Yes,7,Severe,69.95
74,22,81,62,Middle,4,Medium,No,6,Severe,53.099999999999994
85,20,100,54,Middle,0,Low,Yes,7,Severe,56.2
91,30,75,75,High,4,Medium,No,8,None,73.2
90,23,85,100,High,2,Medium,Yes,8,None,80.75
74,15,99,53,Low,4,High,Yes,6,None,65.25
98,22,93,72,High,4,Low,No,8,None,75.3
85,28,76,63,High,3,Low,Yes,9,Severe,66.1
77,26,91,50,Middle,2,Medium,No,7,Mild,55.099999999999994
72,20,91,87,High,2,High,No,6,Mild,73.69999999999999
76,24,93,84,Low,1,Low,No,6,None,65.0
80,21,95,69,Low,3,Medium,No,8,Mild,65.95
71,21,80,84,Low,4,Medium,No,9,Mild,65.65
94,25,80,93,Middle,4,High,Yes,8,Mild,81.94999999999999
73,22,96,61,High,3,Low,Yes,9,Mild,70.60000000000001
92,15,98,91,Middle,0,High,No,7,Mild,74.05
75,27,76,73,High,4,Low,No,7,Mild,66.85
100,29,83,91,Middle,0,High,Yes,9,Mild,81.15
92,24,93,72,High,2,Medium,No,9,Severe,66.6
92,30,94,94,High,1,Medium,Yes,9,Mild,82.9
86,15,87,60,High,4,High,No,6,None,69.35
96,17,79,77,High,3,Medium,No,7,Severe,65.35
83,17,93,80,Low,2,Medium,No,8,None,65.45
74,28,92,84,Low,1,Low,Yes,6,Mild,68.4
81,29,85,54,Middle,4,Low,Yes,8,Severe,59.650000000000006
98,18,80,71,High,0,Low,No,8,Mild,68.4
79,16,84,91,High,0,High,Yes,6,Severe,71.9
75,24,95,70,Low,3,Medium,Yes,9,Severe,64.0
80,17,97,63,High,2,High,No,9,Mild,70.55000000000001
78,23,94,70,Low,1,Low,No,8,Mild,63.150000000000006
91,16,88,60,High,0,High,No,8,None,69.8
75,13,83,60,High,0,Medium,No,6,Severe,52.85
94,23,79,68,Low,1,High,Yes,7,Severe,63.75
74,23,80,84,Middle,0,Medium,No,6,Severe,56.75
83,16,92,89,Middle,0,Medium,Yes,6,Severe,63.7
100,22,80,71,Middle,1,Low,Yes,8,Mild,67.8
96,29,84,70,High,2,Low,No,6,Severe,64.25
84,13,79,70,High,2,Low,No,9,Severe,58.85
91,25,99,62,Middle,0,High,No,8,None,69.85
90,28,88,85,Middle,0,Low,No,7,None,68.1
70,21,81,98,Low,4,High,No,6,Severe,67.85
94,22,80,60,Low,0,Low,No,8,Severe,55.3
72,13,98,98,High,0,Low,Yes,7,Mild,74.65
85,11,87,75,Low,0,Medium,No,9,Mild,61.650000000000006
86,29,77,73,Low,2,Low,Yes,7,Severe,59.75
87,21,94,71,Low,0,Medium,Yes,7,Severe,60.75
98,12,87,88,Middle,1,Medium,Yes,8,Mild,71.4
91,20,89,54,High,3,Medium,Yes,6,Severe,63.2
88,18,90,51,Middle,1,Low,Yes,7,Mild,58.4
79,10,79,84,High,1,High,Yes,6,Severe,67.3
100,27,83,93,Low,0,High,No,6,Mild,76.25
87,26,86,68,Low,3,High,Yes,7,None,72.5
75,24,84,61,Low,1,High,No,6,Severe,56.099999999999994
82,20,82,96,High,3,Low,No,7,None,74.6
87,23,76,99,High,1,High,No,8,Mild,80.05
83,30,92,58,Low,2,High,No,6,None,64.9
86,25,93,93,High,2,High,No,9,Mild,81.94999999999999
79,22,81,65,High,2,Low,Yes,6,Severe,60.0
86,17,91,91,Middle,2,Medium,Yes,6,Severe,64.95
83,29,81,65,High,0,High,Yes,6,None,72.55
79,25,82,95,Middle,1,High,No,8,Severe,68.95
86,25,76,75,Low,0,High,Yes,7,None,69.15
75,15,100,94,High,0,High,Yes,6,Severe,74.95
82,25,100,78,Middle,3,Medium,Yes,9,None,74.05000000000001
93,16,89,80,Middle,1,High,Yes,6,Severe,67.4
95,12,85,58,Middle,3,High,No,6,Severe,59.400000000000006
77,24,98,62,Middle,0,High,No,6,Severe,59.599999999999994
94,11,88,77,High,1,Low,Yes,8,Severe,67.25
71,21,87,93,Middle,1,High,Yes,7,Mild,72.75
79,15,77,57,Middle,2,Low,Yes,8,None,57.05
94,27,96,60,Low,4,Low,Yes,8,None,70.75
100,24,94,54,Middle,3,Low,No,9,Mild,66.0
71,13,96,82,Middle,0,Low,No,6,None,61.25
94,16,95,56,Middle,3,Medium,Yes,6,Severe,59.599999999999994
74,24,92,71,Middle,3,High,No,7,None,68.5
75,17,84,80,High,2,Low,Yes,6,None,68.05
88,25,80,65,High,2,Low,No,8,Severe,61.349999999999994
85,10,91,65,Low,0,Medium,Yes,6,None,60.2
84,22,81,63,Low,0,Medium,Yes,8,Mild,62.4
84,18,98,56,Low,3,Low,No,6,Severe,55.7
95,12,86,76,Low,0,High,No,8,None,69.0
75,30,100,89,Middle,1,High,No,7,Severe,69.2
99,10,88,70,High,1,Medium,Yes,9,Mild,70.9
83,20,83,92,Middle,4,High,Yes,9,Mild,78.8
83,10,82,51,Middle,3,Medium,No,8,None,55.8
75,15,91,67,High,0,High,No,7,Severe,62.05
72,15,87,69,High,1,Low,No,9,None,63.25
79,17,80,77,High,1,Low,No,9,Severe,61.14999999999999
87,27,78,67,Low,1,Medium,Yes,7,Severe,57.849999999999994
91,14,85,59,Middle,3,High,Yes,8,None,69.4
98,15,75,50,Low,2,High,No,7,Mild,58.35
84,19,75,93,High,2,Low,Yes,7,Mild,72.44999999999999
87,28,86,87,Middle,0,Low,Yes,7,None,70.7
74,28,94,66,High,0,Low,Yes,9,Severe,65.4
88,27,83,67,Low,3,Low,No,8,Severe,61.05
72,27,81,60,Low,4,High,No,6,None,63.349999999999994
92,22,75,93,Middle,1,High,No,9,Mild,73.80000000000001
98,18,88,59,High,0,Low,Yes,7,None,67.4
85,26,98,89,Low,3,Low,No,9,Severe,69.8
73,27,90,60,Low,0,Low,No,6,Severe,52.35
71,25,94,96,High,4,High,No,9,None,83.05
95,17,94,65,Middle,2,Low,Yes,6,Mild,64.55
85,30,99,69,Middle,3,High,No,7,Mild,73.0
77,24,87,68,Low,0,Low,No,6,Severe,54.199999999999996
100,22,85,85,Middle,1,Low,Yes,8,None,73.0
82,16,80,88,Middle,0,High,No,7,Severe,62.80000000000001
95,29,94,99,High,1,Low,Yes,7,Mild,82.75
84,14,85,100,Low,0,Medium,Yes,9,Severe,67.3
89,22,77,98,Middle,1,Low,No,7,Mild,68.1
71,28,99,99,Low,3,Medium,No,8,Mild,75.7
88,11,81,61,Middle,1,Medium,No,8,Mild,56.849999999999994
80,29,92,95,High,4,High,Yes,7,Mild,86.15
84,20,89,83,High,0,Medium,No,6,Severe,64.5
80,14,98,90,High,4,Low,No,6,Mild,74.1
86,16,77,72,High,3,Medium,No,8,None,68.2
75,10,84,57,Middle,1,Medium,Yes,6,None,54.39999999999999
82,20,77,63,High,2,Medium,No,6,None,60.7
87,26,96,50,High,4,Medium,Yes,8,None,71.10000000000001
83,21,96,57,Low,3,Low,No,9,None,63.150000000000006
78,25,79,96,High,4,High,No,8,Mild,81.45
75,24,80,84,Middle,4,High,Yes,7,None,73.2
80,11,92,92,Low,3,High,Yes,8,Mild,77.75
79,20,89,54,Middle,2,Medium,No,9,Severe,51.8
79,28,93,70,Middle,2,High,Yes,9,None,72.4
73,23,93,67,Middle,0,Low,Yes,6,None,62.05
94,23,93,59,High,4,Low,Yes,9,Mild,73.85000000000001
73,28,95,67,Middle,0,Low,Yes,7,Severe,58.7
79,10,85,91,High,2,Medium,No,8,Mild,69.6
93,12,95,83,Middle,2,Medium,No,7,Severe,60.5
76,15,85,92,Middle,3,High,Yes,9,Mild,76.55
81,26,84,91,Low,0,Medium,Yes,9,Mild,71.8
98,24,76,62,High,4,Low,No,9,Mild,69.4
75,14,89,64,Middle,3,Low,No,8,None,60.5
81,24,95,78,High,3,Medium,No,9,Mild,74.6
70,23,89,77,Low,2,Low,No,6,Mild,60.64999999999999
89,27,88,91,Low,0,Low,No,7,Severe,64.45
78,27,81,66,Middle,2,High,No,6,None,63.349999999999994
77,12,88,56,High,4,High,No,7,None,65.8
75,23,75,86,High,0,Medium,Yes,9,None,71.55
99,22,87,80,High,3,Low,Yes,9,None,79.7
81,21,98,79,Low,2,Medium,No,8,None,66.75
78,26,84,85,High,1,High,No,9,None,76.4
71,30,87,98,High,3,Medium,No,9,None,78.5
76,16,100,81,Low,3,High,Yes,7,Mild,74.5
86,11,98,51,High,4,Medium,Yes,6,Mild,65.85
99,30,79,53,Middle,0,Medium,Yes,9,Mild,64.0
80,23,86,68,High,3,High,Yes,7,None,75.35
70,22,98,60,Low,3,High,No,9,Mild,67.1
91,21,91,99,Middle,1,Low,No,8,Severe,68.35
86,25,88,82,High,1,High,Yes,7,Mild,78.64999999999999
89,17,78,69,Low,4,Low,No,7,Mild,61.35000000000001
76,24,82,59,Low,3,Medium,No,9,None,60.30000000000001
88,24,76,60,High,4,Low,No,7,Mild,64.80000000000001
73,29,87,54,Low,1,Medium,No,6,None,55.45
84,11,100,77,Low,3,Medium,Yes,7,Severe,63.64999999999999
80,19,78,71,High,0,High,Yes,9,Severe,67.65
71,19,96,51,Middle,1,Low,No,9,None,55.45
95,12,96,91,High,4,Medium,No,6,None,76.5
97,11,89,83,High,0,High,No,9,Mild,76.85
70,22,88,61,High,3,Low,No,7,None,63.400000000000006
94,24,97,60,High,0,Medium,Yes,6,None,70.2
74,21,98,77,Low,1,Medium,No,9,Severe,59.75
71,30,87,60,Middle,0,High,Yes,9,Mild,67.10000000000001
96,11,86,69,High,4,Medium,No,9,Mild,69.85000000000001
87,25,86,90,Middle,1,High,Yes,8,None,77.85
82,20,87,75,High,3,Low,No,6,None,69.30000000000001
74,22,78,80,Low,0,Medium,Yes,7,None,62.900000000000006
100,20,83,65,Low,2,Low,No,7,Severe,56.1
90,16,87,91,Low,2,Medium,No,8,None,68.7
78,23,100,98,High,0,High,No,9,None,82.75
84,11,95,73,Middle,0,Medium,Yes,6,None,63.449999999999996
90,29,95,59,Middle,0,Low,No,6,Severe,56.95
87,28,96,72,Middle,4,High,No,7,Severe,68.2
74,25,96,53,Low,0,Medium,No,7,None,56.15
92,12,82,77,Low,1,Medium,No,7,Severe,55.900000000000006
73,18,100,57,High,0,Low,No,9,None,63.2
72,12,100,56,Middle,3,Low,Yes,7,Severe,55.2
80,13,97,86,Low,1,Low,Yes,6,Mild,67.45
96,10,86,76,High,0,Medium,No,6,Mild,66.7
89,19,77,87,Low,2,High,Yes,6,Severe,67.05
70,25,92,98,Low,1,Low,Yes,7,None,71.05000000000001
82,12,81,78,Middle,1,Medium,No,7,None,59.0
73,26,77,50,High,0,Medium,Yes,6,None,59.5
97,14,92,73,Middle,2,High,No,9,Severe,65.2
97,14,95,77,High,0,High,Yes,7,Mild,78.0
98,13,80,87,Middle,4,High,No,8,None,74.95
99,13,77,61,Middle,2,Low,Yes,7,Mild,59.75
85,23,83,58,High,0,Low,No,6,Severe,56.75
75,16,85,68,High,0,High,Yes,8,None,71.4
81,16,95,80,High,3,Medium,No,8,Severe,68.2
94,21,99,88,Low,0,Low,No,8,None,72.25
95,14,99,62,High,1,High,Yes,6,Severe,68.89999999999999
94,24,82,75,Low,0,Medium,No,6,Mild,63.7
76,21,95,76,Low,2,Medium,No,6,None,62.25
80,21,82,67,High,2,High,No,6,Severe,62.75
95,15,83,93,Low,4,Low,No,9,Severe,67.25
99,13,88,61,Low,3,Low,Yes,6,Mild,64.95
73,30,99,56,High,4,Low,Yes,6,Mild,69.7
71,26,96,65,Middle,0,Medium,No,7,None,59.400000000000006
75,15,92,94,Middle,2,Low,Yes,7,None,68.35000000000001
83,14,91,85,High,2,Low,Yes,8,Mild,73.8
90,13,95,66,Low,3,Medium,Yes,9,Severe,63.05
95,22,96,52,High,0,Low,Yes,6,None,67.30000000000001
95,21,93,65,Middle,0,High,Yes,7,Mild,70.35
92,14,99,74,Middle,1,Medium,Yes,6,Severe,61.900000000000006
80,28,86,69,Middle,4,Low,Yes,6,Mild,66.9
71,15,94,99,Low,2,High,Yes,6,None,74.45
94,19,95,69,Low,0,Medium,No,8,Severe,60.25
94,19,94,56,Low,3,Low,No,8,None,64.15
88,14,96,60,High,3,High,No,8,Severe,68.30000000000001
73,19,93,61,Middle,2,High,No,7,Mild,61.25
80,28,85,75,Low,3,Medium,No,9,Mild,67.5
93,26,87,63,Low,0,Medium,No,8,None,63.4
91,10,84,61,Low,0,High,Yes,6,Mild,63.8
100,30,78,85,High,2,High,No,7,Severe,73.6
90,18,84,78,High,0,Low,No,6,Severe,62.69999999999999
99,14,75,84,Low,4,Low,No,9,Mild,68.5
81,25,79,83,High,1,Low,No,8,Severe,65.15
83,25,98,83,Middle,3,Medium,No,6,Severe,65.35
96,15,81,73,High,2,Medium,No,8,Mild,68.05000000000001
88,18,76,86,High,2,Low,No,8,Severe,65.10000000000001
98,20,99,80,Middle,2,Low,No,7,Severe,63.400000000000006
83,26,83,61,Low,1,Medium,Yes,7,Mild,61.0
77,19,82,50,Middle,3,Medium,Yes,6,Mild,57.55
73,18,96,64,Low,1,Low,Yes,8,Mild,62.5
97,19,92,78,Low,3,High,Yes,6,None,76.95
76,20,92,59,Middle,1,High,No,7,Mild,61.30000000000001
78,22,81,57,Middle,4,Low,Yes,7,None,60.39999999999999
83,19,81,96,High,0,High,Yes,7,Mild,79.35
74,17,92,65,Middle,3,Medium,Yes,6,Mild,62.95
84,25,84,73,High,0,High,No,7,Severe,66.75
100,12,88,79,Middle,4,Medium,No,9,None,69.3
92,17,89,93,Middle,4,Low,Yes,8,None,76.35
97,19,76,65,Middle,3,High,Yes,9,Mild,71.85
85,17,97,98,High,3,Medium,Yes,6,Severe,76.05000000000001
99,25,76,70,Middle,4,Medium,No,6,None,65.25
90,19,94,91,Low,1,Low,Yes,8,Mild,73.85
80,30,88,70,Middle,2,Low,No,9,Mild,64.1
99,19,75,72,High,1,High,No,7,Mild,71.14999999999999
74,21,86,89,Middle,2,Medium,Yes,8,Mild,68.95
87,29,82,100,Middle,2,Low,No,7,Mild,71.05000000000001
74,10,84,82,Middle,1,Low,Yes,7,Severe,56.7
80,14,85,60,Middle,1,Low,Yes,6,Mild,57.5
78,12,77,60,Low,1,High,No,6,None,57.0
89,26,78,92,Low,0,High,No,7,Mild,72.5
76,17,94,70,Middle,2,Low,Yes,9,Mild,64.25
72,19,82,59,High,2,Low,Yes,6,Mild,61.25
79,13,85,78,High,1,High,No,8,Severe,66.44999999999999
95,12,94,74,Middle,0,Low,Yes,6,Mild,66.0
72,25,94,85,High,3,High,Yes,6,None,80.95
96,23,100,88,Low,1,Low,No,9,None,73.35
79,25,81,82,High,3,Medium,Yes,6,None,73.85
70,23,89,74,High,3,High,No,8,Severe,69.75
81,15,86,97,High,1,Low,No,7,Mild,71.25
100,23,82,94,High,2,High,Yes,8,None,85.35000000000001
99,18,77,86,High,4,Low,No,7,Severe,68.5
87,23,75,76,Middle,1,Low,No,7,Severe,55.95
81,22,92,69,High,3,Medium,No,6,Mild,68.8
77,13,97,95,Middle,2,High,No,9,None,73.55
92,22,93,79,High,2,Low,No,8,Mild,73.2
95,11,86,80,High,2,High,Yes,6,None,75.95
99,26,84,82,High,4,Medium,No,9,Severe,72.7
72,13,75,58,Low,2,High,Yes,7,Severe,53.05
72,11,87,96,Low,3,High,No,7,Severe,66.35
84,16,81,91,High,4,Medium,Yes,8,None,77.3
98,27,87,88,Low,1,Low,No,7,Severe,65.15
77,25,79,71,Middle,3,Low,No,6,Severe,56.75
71,29,94,79,Middle,2,High,No,9,None,70.95
92,23,82,69,Middle,2,High,Yes,7,Mild,69.25
100,13,85,89,High,2,Low,No,9,Severe,68.95
77,18,95,62,Middle,2,High,No,9,Severe,59.5
93,20,76,54,High,0,Low,No,9,Mild,62.0
71,12,80,87,Low,2,High,No,6,None,64.3
95,15,83,80,High,3,Medium,Yes,8,Mild,76.35
78,19,96,66,Low,0,Medium,No,7,Mild,59.35000000000001
70,22,89,91,High,0,Medium,Yes,8,None,74.6
94,27,81,69,Middle,1,Medium,No,8,Severe,59.45
84,11,98,50,Middle,0,High,No,6,Mild,59.150000000000006
80,29,77,74,Low,3,High,Yes,8,Severe,68.85
90,13,90,57,High,2,Low,No,9,Mild,63.349999999999994
90,10,76,82,Middle,1,Medium,No,9,Severe,57.3
90,10,88,66,High,3,High,No,6,Severe,65.9
86,28,85,64,Middle,1,Medium,No,7,Severe,55.400000000000006
75,10,76,50,High,2,High,No,9,Severe,54.7
91,12,77,52,High,1,High,No,8,Mild,64.2
77,23,88,89,Middle,3,Low,No,9,Mild,70.45
85,20,76,54,High,1,High,Yes,7,Severe,61.400000000000006
97,30,88,88,High,2,Medium,No,9,Mild,77.9
98,10,81,60,High,1,Medium,No,7,Severe,56.3
99,16,100,56,High,2,Low,No,8,Mild,67.6
90,15,83,75,Low,3,High,No,7,None,68.85
72,25,88,57,High,0,Medium,Yes,8,Mild,65.35
96,27,94,96,High,1,High,Yes,9,Severe,83.55
90,29,81,66,Low,1,Medium,No,6,None,61.25
79,15,76,61,Low,1,Medium,Yes,7,Mild,56.05
75,30,88,84,Low,1,High,Yes,6,Mild,73.3
87,25,92,52,Middle,0,Medium,Yes,6,None,60.650000000000006
83,15,85,90,Low,4,Low,Yes,6,Severe,65.35
90,13,77,94,Middle,2,Medium,Yes,8,Mild,69.85
84,10,78,52,High,2,Low,No,7,Mild,55.50000000000001
82,30,85,86,Low,1,High,No,9,Mild,73.7
70,25,79,86,Middle,4,High,No,9,Severe,66.85
90,13,88,69,High,0,High,Yes,8,None,74.55
78,28,78,91,Low,2,Medium,Yes,7,Mild,68.5
98,21,85,99,High,1,Medium,No,9,Mild,78.55
89,19,86,50,Middle,4,Medium,No,9,None,59.75
71,10,84,55,Middle,0,Low,No,9,None,52.0
80,11,99,57,Middle,2,Medium,No,6,None,55.64999999999999
91,22,94,84,Middle,1,Medium,Yes,8,Severe,67.7
97,15,89,68,High,3,High,Yes,7,Mild,77.35
78,23,91,67,High,3,Medium,No,6,Severe,62.64999999999999
88,19,84,80,Low,4,Medium,No,6,Severe,61.150000000000006
85,22,91,72,Low,0,Low,Yes,8,Mild,67.3
86,12,82,63,Middle,3,Low,Yes,8,Severe,58.5
97,24,93,82,High,3,Low,No,7,Mild,76.6
76,13,80,94,Low,0,High,Yes,9,Mild,72.65
77,15,84,77,Low,3,Medium,Yes,6,None,65.05
87,16,83,97,Middle,2,High,Yes,6,None,75.1
79,21,86,79,High,4,Medium,Yes,9,Severe,69.95
88,26,84,89,High,4,Medium,Yes,6,None,78.60000000000001
84,17,96,94,Low,4,Medium,No,8,None,73.45
84,29,85,84,High,2,Low,No,6,None,71.25
75,13,89,82,Low,4,Low,No,8,Severe,60.64999999999999
87,26,97,54,High,4,Low,Yes,7,Severe,65.5
96,21,94,96,Low,2,Low,No,8,None,74.05
77,28,76,55,High,1,High,Yes,8,Mild,69.1
86,18,86,61,Middle,2,High,Yes,7,Severe,60.2
81,16,78,63,Low,0,Low,Yes,8,Mild,59.699999999999996
93,15,84,82,Low,0,Low,Yes,9,Mild,68.75
91,17,77,58,High,3,Low,Yes,9,Mild,68.25
76,13,78,71,High,1,High,Yes,6,Mild,68.35000000000001
83,16,79,54,Low,3,High,No,9,None,62.60000000000001
98,13,75,94,High,4,Low,Yes,6,Mild,77.05
73,15,75,90,Middle,2,Medium,No,7,None,60.35
81,26,83,76,High,2,Medium,Yes,6,Severe,65.1
91,16,94,51,Middle,0,High,No,7,None,61.3
72,12,87,69,Middle,3,Medium,No,8,Severe,55.5
71,11,100,95,High,1,Medium,No,8,Mild,72.45
88,20,92,61,Middle,0,Medium,Yes,7,None,62.3
93,20,91,52,Middle,1,High,Yes,9,None,67.4
79,22,83,91,Middle,2,Medium,No,7,None,65.2
84,11,80,77,Middle,2,High,Yes,9,Severe,63.64999999999999
98,21,90,71,High,3,Medium,Yes,7,Severe,70.15
83,16,93,77,High,1,Low,Yes,6,Mild,70.3
99,19,88,54,Low,0,Low,Yes,6,Mild,61.35000000000001
86,14,80,71,Middle,2,Medium,No,9,None,60.0
96,13,85,62,Low,0,Medium,Yes,6,Severe,56.05
74,28,83,88,Middle,2,Medium,Yes,6,Severe,62.80000000000001
91,15,98,96,High,4,Medium,No,8,Mild,80.35
84,28,88,93,Middle,4,Low,No,8,None,74.30000000000001
80,13,94,84,High,1,Medium,Yes,6,Severe,66.25
98,10,100,70,High,1,Medium,Yes,9,Severe,68.1
91,14,76,100,Low,0,Low,Yes,6,Severe,64.9
80,28,78,71,Middle,0,Low,No,9,None,61.900000000000006
71,20,92,98,High,0,Low,Yes,8,Severe,72.0
74,19,98,58,High,4,Medium,No,8,Mild,66.55000000000001
86,30,81,99,Low,0,Low,Yes,6,None,73.6
83,11,81,60,Low,2,Low,No,9,Severe,50.55
93,28,83,80,High,4,Medium,No,6,Mild,74.2
78,14,93,100,Low,3,Medium,No,9,None,72.7
87,25,82,56,Middle,0,Low,Yes,6,Mild,59.85000000000001
78,17,75,53,Middle,4,High,Yes,7,Mild,61.75
99,14,77,55,Middle,2,High,Yes,9,None,65.2
96,12,76,73,Middle,0,High,Yes,6,Mild,67.30000000000001
99,25,93,95,High,0,Low,Yes,9,Severe,78.15
98,15,84,97,Middle,0,Medium,Yes,8,Severe,69.25
93,20,80,66,Low,1,Low,No,7,Severe,54.400000000000006
87,11,79,94,Low,0,Medium,No,9,None,66.15
97,16,91,59,Middle,4,High,Yes,6,Severe,65.3
81,14,75,65,High,4,Low,No,8,Severe,59.2
75,18,93,77,Low,1,Low,No,6,Severe,56.2
84,18,97,99,High,2,Medium,No,6,Mild,75.4
97,10,99,93,High,3,Low,No,6,None,77.6
80,25,100,99,High,4,Medium,Yes,9,Mild,84.95
85,26,80,71,Low,4,Low,Yes,7,Mild,66.8
80,29,94,86,Middle,4,Medium,No,9,Mild,72.85
97,14,96,90,Middle,4,Low,Yes,6,Mild,75.10000000000001
99,12,86,98,Middle,0,Medium,No,7,Mild,69.4
84,10,78,76,High,2,Low,No,6,Severe,57.7
80,18,75,83,Middle,2,Medium,Yes,7,Severe,58.4
100,25,76,84,High,4,Low,No,9,None,76.65
93,24,80,54,Middle,1,High,Yes,6,Severe,59.8
95,17,82,70,Middle,4,High,Yes,6,Mild,71.65
93,10,80,64,Middle,4,Medium,No,7,Mild,59.3
73,20,95,71,Low,2,Medium,Yes,8,Severe,59.900000000000006
81,26,78,56,Middle,2,High,Yes,8,Severe,60.099999999999994
74,20,96,58,Low,4,High,Yes,8,Severe,64.4
94,14,90,66,Middle,3,Low,Yes,6,Severe,61.099999999999994
100,14,80,95,Low,2,Medium,Yes,8,None,73.0
87,27,100,78,Middle,2,Medium,No,8,Severe,64.55000000000001
76,15,80,81,Middle,3,Low,Yes,8,None,67.25
75,27,97,90,Middle,3,Medium,Yes,8,Severe,71.15
99,17,97,96,High,2,High,Yes,7,Severe,80.25
70,16,78,59,Middle,2,Low,Yes,6,Severe,49.3
89,21,75,61,High,3,Low,Yes,6,Severe,62.349999999999994
89,15,81,95,High,4,High,No,8,Mild,81.25
70,11,90,75,High,0,Medium,No,6,Severe,57.25
99,20,93,100,High,2,Low,Yes,7,Mild,81.4
96,18,78,94,Low,0,High,Yes,9,Mild,77.5
75,26,77,70,Middle,0,High,Yes,7,None,65.9
87,20,88,66,Low,4,Medium,Yes,9,None,67.8
80,20,98,98,Low,2,High,No,8,Mild,77.0
89,26,96,78,Low,4,High,Yes,7,Severe,72.9
93,10,89,65,High,1,Medium,No,6,Severe,58.400000000000006
84,10,76,64,High,2,Medium,Yes,7,Mild,61.7
80,24,96,94,High,1,High,No,6,Mild,79.4
92,16,86,70,High,0,Medium,No,9,Severe,62.599999999999994
70,25,96,88,Low,3,High,No,6,None,73.85
91,25,92,98,High,3,High,No,8,Severe,82.25
75,21,99,76,Middle,3,Low,Yes,8,Severe,65.85
82,12,97,68,Middle,2,Medium,No,7,Severe,54.2
99,29,88,68,Low,1,Low,Yes,9,None,70.05000000000001
74,28,96,90,Low,3,High,No,7,None,76.0
93,26,86,57,Low,0,Low,No,9,None,61.39999999999999
89,16,82,56,Low,0,High,No,6,Mild,60.0
92,22,83,72,High,3,Medium,No,6,None,70.1
94,28,83,92,High,3,Medium,Yes,7,None,81.0
80,12,89,69,Low,4,Medium,Yes,7,None,63.5
91,26,75,91,Low,2,High,No,7,Severe,67.0
70,15,79,91,Low,0,Medium,Yes,7,Severe,58.849999999999994
97,23,99,93,High,3,Low,Yes,7,Mild,83.85
96,25,95,54,Low,0,High,Yes,9,None,70.65
94,28,96,59,Low,4,High,No,8,None,72.7
71,24,76,56,Low,2,Medium,No,8,None,54.2
93,25,93,62,High,2,Medium,Yes,9,Mild,72.05
76,10,88,82,Middle,3,High,Yes,8,None,72.9
93,17,81,89,Middle,1,High,Yes,6,Mild,73.75
98,24,78,71,Low,3,Low,Yes,9,Mild,70.5
75,30,89,68,Middle,0,High,Yes,9,Mild,70.69999999999999
86,22,77,96,Middle,3,High,Yes,8,None,79.9
86,13,76,66,High,0,High,No,8,Mild,67.45
75,24,77,100,Low,3,High,Yes,6,Mild,77.4
73,20,85,75,High,1,High,No,7,None,69.1
86,25,95,73,High,3,High,Yes,9,Severe,77.35
79,12,91,80,High,2,High,Yes,7,None,74.0
72,26,92,87,Middle,4,Medium,Yes,9,Severe,68.39999999999999
87,28,77,58,High,1,Low,No,6,Mild,62.2
77,15,95,59,Low,4,High,Yes,6,Mild,66.85
83,21,90,80,High,3,Medium,No,9,Severe,68.85
99,10,78,54,Low,1,Medium,Yes,9,None,59.10000000000001
71,27,83,99,High,3,High,No,9,None,82.25
90,23,99,54,High,2,High,Yes,7,None,72.75
79,29,100,99,High,1,Low,Yes,6,Severe,75.75
92,12,83,73,Middle,1,Low,No,9,Mild,61.9
70,21,85,84,Low,2,Medium,Yes,8,None,66.45
73,11,89,85,Middle,0,Medium,Yes,9,Mild,65.65
70,27,79,95,Low,2,Low,Yes,6,None,68.05
100,13,98,56,High,0,Medium,No,9,Mild,66.65
70,22,96,59,High,1,Low,No,8,Severe,58.400000000000006
74,21,95,50,Middle,2,High,No,8,None,61.05
75,26,88,82,Middle,1,High,Yes,6,Severe,66.7
72,26,94,88,High,0,High,No,7,None,76.1
97,10,83,64,Low,4,Low,No,9,None,62.7
81,10,95,68,Low,0,High,No,7,Severe,58.1
98,20,78,62,Low,0,Low,No,8,None,60.8
88,19,85,52,Middle,1,Medium,Yes,7,None,57.95
97,11,96,75,Middle,1,Medium,No,6,None,63.85000000000001
90,23,88,58,Low,1,Low,No,7,Mild,58.75
84,10,79,93,Low,1,Low,Yes,9,None,68.0
89,27,100,60,Low,3,Low,No,6,Severe,60.55
80,25,77,56,Low,4,Low,No,7,Mild,57.45
94,28,84,68,Middle,1,Medium,Yes,6,Mild,66.0
98,11,79,62,High,2,Low,No,8,Mild,63.75
81,27,95,52,Low,3,Low,No,8,Severe,57.550000000000004
91,25,95,85,Low,1,High,No,8,None,75.95
92,14,84,73,Middle,0,Medium,No,7,Severe,55.6
90,14,96,97,Low,2,Low,Yes,7,Mild,72.8
82,29,86,57,Middle,4,High,Yes,6,Severe,63.95
89,23,82,71,High,0,Low,Yes,8,Mild,71.25
88,30,76,88,High,1,High,No,8,None,78.7
88,15,90,83,Middle,1,High,No,8,Severe,66.25
75,25,85,90,Low,4,Low,No,7,Severe,63.25
74,13,96,79,High,2,Medium,No,6,None,65.95
70,15,82,88,High,2,High,Yes,9,Mild,75.55000000000001
82,21,89,73,Middle,2,Medium,No,7,None,61.35
77,26,85,85,Middle,3,Low,No,7,None,67.4
78,10,90,55,Middle,2,Medium,No,7,None,52.6
